year,region,crop,district,area_ha,production_ton,yield_kgha,source,price_week_date_from,price_week_date_to,usd_kzt_rate,domestic_usd_per_t,export_usd_per_t,notional_revenue_domestic_usd,notional_revenue_export_usd,export_uplift_usd
2025,Акмолинская область,Зерновые и бобовые (группа),Есильский,430825.7,573654.9,1340.0,stat_gov_kz_real_group,,,,,,,,
2025,Акмолинская область,Масличные (группа),Есильский,45788.2,37102.77,810.0,stat_gov_kz_real_group,,,,,,,,
2025,Акмолинская область,Подсолнечник,Есильский,,17440.120000000003,1060.0,stat_gov_kz_real,,,,,,,,
2025,Акмолинская область,Пшеница,Есильский,367682.7,481270.67,1310.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,205.26170867856518,261.0,98786440.06107788,125611644.86999999,26825204.808922112
2025,Акмолинская область,Зерновые и бобовые (группа),Жаксынский,470763.3,731916.43,1570.0,stat_gov_kz_real_group,,,,,,,,
2025,Акмолинская область,Масличные (группа),Жаксынский,13930.6,14609.160000000002,1050.0,stat_gov_kz_real_group,,,,,,,,
2025,Акмолинская область,Подсолнечник,Жаксынский,,6764.200000000001,1410.0,stat_gov_kz_real,,,,,,,,
2025,Акмолинская область,Пшеница,Жаксынский,422793.7,653855.38,1560.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,205.26170867856518,261.0,134211472.52747254,170656254.18,36444781.65252747
2025,Акмолинская область,Зерновые и бобовые (группа),Жаркаинский,670308.8,755500.46,1140.0,stat_gov_kz_real_group,,,,,,,,
2025,Акмолинская область,Масличные (группа),Жаркаинский,13581.8,8481.130000000001,650.0,stat_gov_kz_real_group,,,,,,,,
2025,Акмолинская область,Подсолнечник,Жаркаинский,,696.0,580.0,stat_gov_kz_real,,,,,,,,
2025,Акмолинская область,Пшеница,Жаркаинский,576274.4,645603.93,1130.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,205.26170867856518,261.0,132517765.8013968,168502625.73000002,35984859.92860322
2025,Акмолинская область,Зерновые и бобовые (группа),Зерендинский,217624.74,456641.5500000001,2100.0,stat_gov_kz_real_group,,,,,,,,
2025,Акмолинская область,Масличные (группа),Зерендинский,87575.22,95936.54,1110.0,stat_gov_kz_real_group,,,,,,,,
2025,Акмолинская область,Подсолнечник,Зерендинский,,17979.18,1560.0,stat_gov_kz_real,,,,,,,,
2025,Акмолинская область,Пшеница,Зерендинский,133069.74,300839.2,2260.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,205.26170867856518,261.0,61750768.22949261,78519031.2,16768262.97050739
2025,Акмолинская область,Зерновые и бобовые (группа),Коргалжынский,155494.5,179428.87,1200.0,stat_gov_kz_real_group,,,,,,,,
2025,Акмолинская область,Масличные (группа),Коргалжынский,8609.0,5740.900000000001,670.0,stat_gov_kz_real_group,,,,,,,,
2025,Акмолинская область,Подсолнечник,Коргалжынский,,1788.6,700.0,stat_gov_kz_real,,,,,,,,
2025,Акмолинская область,Пшеница,Коргалжынский,140886.5,166604.7,1230.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,205.26170867856518,261.0,34197565.39587975,43483826.7,9286261.30412025
2025,Акмолинская область,Зерновые и бобовые (группа),Сандыктауский,313239.8,694524.0800000001,2220.0,stat_gov_kz_real_group,,,,,,,,
2025,Акмолинская область,Масличные (группа),Сандыктауский,42953.3,65650.8,1570.0,stat_gov_kz_real_group,,,,,,,,
2025,Акмолинская область,Подсолнечник,Сандыктауский,,14687.21,1960.0,stat_gov_kz_real,,,,,,,,
2025,Акмолинская область,Пшеница,Сандыктауский,232465.7,550039.9,2370.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,205.26170867856518,261.0,112902129.71538714,143560413.9,30658284.18461287
2025,Акмолинская область,Зерновые и бобовые (группа),Целиноградский,212061.0,276358.53,1330.0,stat_gov_kz_real_group,,,,,,,,
2025,Акмолинская область,Масличные (группа),Целиноградский,27748.0,20048.210000000003,730.0,stat_gov_kz_real_group,,,,,,,,
2025,Акмолинская область,Подсолнечник,Целиноградский,,8375.1,690.0,stat_gov_kz_real,,,,,,,,
2025,Акмолинская область,Пшеница,Целиноградский,161697.6,217705.59,1380.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,205.26170867856518,261.0,44686621.392275155,56821158.99,12134537.597724847
2025,Акмолинская область,Зерновые и бобовые (группа),Шортандинский,199450.79,327102.57000000007,1639.9999999999998,stat_gov_kz_real_group,,,,,,,,
2025,Акмолинская область,Масличные (группа),Шортандинский,39625.52,38735.11,980.0,stat_gov_kz_real_group,,,,,,,,
2025,Акмолинская область,Подсолнечник,Шортандинский,,10758.1,1270.0,stat_gov_kz_real,,,,,,,,
2025,Акмолинская область,Пшеница,Шортандинский,162210.5,270069.9,1670.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,205.26170867856518,261.0,55435009.136649236,70488243.9,15053234.76335077
2025,Акмолинская область,Зерновые и бобовые (группа),г.а Косшы,,4.82,690.0,stat_gov_kz_real_group,,,,,,,,
2025,Акмолинская область,Зерновые и бобовые (группа),г.а. Кокшетау,2682.0,3356.880000000001,1290.0,stat_gov_kz_real_group,,,,,,,,
2025,Акмолинская область,Масличные (группа),г.а. Кокшетау,2768.8,2934.5400000000004,1120.0,stat_gov_kz_real_group,,,,,,,,
2025,Акмолинская область,Пшеница,г.а. Кокшетау,1745.0,2324.35,1330.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,205.26170867856518,261.0,477100.05256702297,606655.35,129555.29743297701
2025,Акмолинская область,Зерновые и бобовые (группа),г.а. Степногорск,7268.0,13378.88,1840.0,stat_gov_kz_real_group,,,,,,,,
2025,Акмолинская область,Масличные (группа),г.а. Степногорск,2350.0,2319.43,990.0,stat_gov_kz_real_group,,,,,,,,
2025,Акмолинская область,Подсолнечник,г.а. Степногорск,,700.0,1000.0,stat_gov_kz_real,,,,,,,,
2025,Акмолинская область,Пшеница,г.а. Степногорск,5203.0,9533.46,1830.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,205.26170867856518,261.0,1956854.2892187538,2488233.0599999996,531378.7707812458
2025,Акмолинская область,Зерновые и бобовые (группа),г.а.Косшы,53.0,,,stat_gov_kz_real_group,,,,,,,,
2025,Костанайская область,Подсолнечник,Алтынсаринский,19436.0,22427.500000000004,1150.0,stat_gov_kz_real,,,,,,,,
2025,Костанайская область,Пшеница,Алтынсаринский,116671.2,188860.77,1620.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,205.26170867856518,261.0,38765884.3525495,49292660.97,10526776.617450498
2025,Костанайская область,Ячмень,Алтынсаринский,17400.0,18515.63,1750.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,136.89328894340284,190.0,2534665.487559138,3517969.7,983304.2124408623
2025,Костанайская область,Пшеница,Амангельдинский,152282.9,165727.63,1090.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,205.26170867856518,261.0,34017536.50904904,43254911.43,9237374.920950957
2025,Костанайская область,Ячмень,Амангельдинский,11029.0,6817.5,620.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,136.89328894340284,190.0,933269.9973716488,1295325.0,362055.0026283512
2025,Костанайская область,Кукуруза,Аркалык г.а.,256.0,258.5,1010.0,stat_gov_kz_real,,,,,,,,
2025,Костанайская область,Подсолнечник,Аркалык г.а.,1350.0,600.0,520.0,stat_gov_kz_real,,,,,,,,
2025,Костанайская область,Пшеница,Аркалык г.а.,274629.4,293264.09,1070.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,205.26170867856518,261.0,60195888.20746452,76541927.49000001,16346039.282535486
2025,Костанайская область,Ячмень,Аркалык г.а.,24204.0,30300.5,1250.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,136.89328894340284,190.0,4147935.1016295776,5757095.0,1609159.8983704224
2025,Костанайская область,Подсолнечник,Аулиекольский,1227.0,715.7,1130.0,stat_gov_kz_real,,,,,,,,
2025,Костанайская область,Пшеница,Аулиекольский,187100.8,259895.89,1390.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,205.26170867856518,261.0,53346674.459936425,67832827.29,14486152.830063581
2025,Костанайская область,Ячмень,Аулиекольский,16149.0,24649.68,1530.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,136.89328894340284,190.0,3374375.766602418,4683439.2,1309063.4333975823
2025,Костанайская область,Подсолнечник,Беимбета Майлина,35182.0,47134.990000000005,1380.0,stat_gov_kz_real,,,,,,,,
2025,Костанайская область,Пшеница,Беимбета Майлина,101721.95,154280.07,1520.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,205.26170867856518,261.0,31667790.783248644,40267098.27,8599307.486751359
2025,Костанайская область,Ячмень,Беимбета Майлина,21200.0,30544.390000000003,1470.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,136.89328894340284,190.0,4181322.0058699846,5803434.100000001,1622112.094130016
2025,Костанайская область,Подсолнечник,Денисовский,50773.2,64801.0,1320.0,stat_gov_kz_real,,,,,,,,
2025,Костанайская область,Пшеница,Денисовский,186547.81,304220.2,1639.9999999999998,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,205.26170867856518,261.0,62444758.06653484,79401472.2,16956714.133465163
2025,Костанайская область,Ячмень,Денисовский,24700.0,33726.6,1380.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,136.89328894340284,190.0,4616945.1988785695,6408054.0,1791108.8011214305
2025,Костанайская область,Подсолнечник,Джангельдинский,5.0,9.4,1880.0,stat_gov_kz_real,,,,,,,,
2025,Костанайская область,Пшеница,Джангельдинский,26025.4,17296.8,660.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,205.26170867856518,261.0,3550370.7226714063,4514464.8,964094.0773285935
2025,Костанайская область,Ячмень,Джангельдинский,3190.0,2509.13,790.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,136.89328894340284,190.0,343483.0580865604,476734.7,133251.6419134396
2025,Костанайская область,Подсолнечник,Житикаринский,10652.0,14678.0,1380.0,stat_gov_kz_real,,,,,,,,
2025,Костанайская область,Пшеница,Житикаринский,170408.99,217460.92000000004,1280.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,205.26170867856518,261.0,44636400.010012776,56757300.12000001,12120900.109987237
2025,Костанайская область,Ячмень,Житикаринский,19112.0,21982.07,1150.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,136.89328894340284,190.0,3009197.860084107,4176593.3,1167395.4399158927
2025,Костанайская область,Подсолнечник,Камыстинский,3466.0,2216.9,800.0,stat_gov_kz_real,,,,,,,,
2025,Костанайская область,Пшеница,Камыстинский,237578.0,327192.81,1460.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,205.26170867856518,261.0,67160155.24794114,85397323.41,18237168.16205886
2025,Костанайская область,Ячмень,Камыстинский,20900.0,26173.75,1330.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,136.89328894340284,190.0,3583010.72148239,4973012.5,1390001.77851761
2025,Костанайская область,Подсолнечник,Карабалыкский,33427.5,50935.19,1520.0,stat_gov_kz_real,,,,,,,,
2025,Костанайская область,Пшеница,Карабалыкский,151810.2,262629.63,1730.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,205.26170867856518,261.0,53907806.60341936,68546333.43,14638526.826580644
2025,Костанайская область,Ячмень,Карабалыкский,25552.0,39855.96,1560.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,136.89328894340284,190.0,5456013.448396706,7572632.399999999,2116618.9516032934
2025,Костанайская область,Подсолнечник,Карасуский,9654.0,10661.27,1100.0,stat_gov_kz_real,,,,,,,,
2025,Костанайская область,Пшеница,Карасуский,545626.36,924855.49,1700.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,205.26170867856518,261.0,189837418.15815166,241387282.89,51549864.73184833
2025,Костанайская область,Ячмень,Карасуский,89318.4,163625.12,1830.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,136.89328894340284,190.0,22399180.830558963,31088772.8,8689591.969441038
2025,Костанайская область,Кукуруза,Костанайский,904.1,1700.0,1840.0,stat_gov_kz_real,,,,,,,,
2025,Костанайская область,Подсолнечник,Костанайский,21638.5,29304.870000000003,1350.0,stat_gov_kz_real,,,,,,,,
2025,Костанайская область,Пшеница,Костанайский,216947.0,348305.94,1610.0000000000002,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,205.26170867856518,261.0,71493872.3872938,90907850.34,19413977.952706203
2025,Костанайская область,Ячмень,Костанайский,24700.0,45713.42,1870.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,136.89328894340284,190.0,6257860.41265113,8685549.799999999,2427689.387348869
2025,Костанайская область,Пшеница,Лисаковск г.а.,138.0,157.29999999999998,1140.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,205.26170867856518,261.0,32287.6667751383,41055.299999999996,8767.633224861696
2025,Костанайская область,Подсолнечник,Мендыкаринский,27781.5,48095.27,1730.0,stat_gov_kz_real,,,,,,,,
2025,Костанайская область,Пшеница,Мендыкаринский,182982.7,389546.0500000001,2130.0,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,205.26170867856518,261.0,79958887.83198582,101671519.05000003,21712631.21801421
2025,Костанайская область,Ячмень,Мендыкаринский,15557.6,27450.540000000005,1760.0000000000002,stat_gov_kz_real,2026-08-31,2026-09-06,456.56,136.89328894340284,190.0,3757794.703872438,5215602.600000001,1457807.8961275625
2025,Костанайская область,Подсолнечник,Наурзумский,950.0,710.0,1000.0,stat_gov_kz_real,,,,,,,,
