time,t2m_kelvin,precip_m,pot_evap_m,soil_water_l1,soil_water_l2,solar_rad_jm2,year,month,t2m_celsius,precip_mm,pot_evap_mm,solar_rad_mjm2,source
1992-04-01,277.13777718599255,0.0009015550167565848,-0.0037186262892292396,0.4003158587018612,0.3881980663052437,16891318.421720855,1992,4,3.99,27.05,111.56,506.74,ERA5_real
1992-05-01,285.1120617088922,0.0012841638413977649,-0.006507453900301479,0.31596797546318717,0.3151625728761215,19876704.722299647,1992,5,11.96,39.81,201.73,616.178,ERA5_real
1992-06-01,289.29391908668066,0.002005970495321478,-0.007497307033076943,0.30571786752308894,0.2989663224990265,21511631.164880514,1992,6,16.14,60.18,224.92,645.349,ERA5_real
1992-07-01,292.83548020346717,0.0022542481955366827,-0.008091558061684559,0.2795545251957087,0.26866684189884504,19874561.681588396,1992,7,19.69,69.88,250.84,616.111,ERA5_real
1992-08-01,289.69847341712466,0.00222240986629251,-0.005502236919404192,0.3308683756271996,0.3044027584121608,15519494.00822878,1992,8,16.55,68.89,170.57,481.104,ERA5_real
1992-09-01,282.7995872377622,0.0008541420056250282,-0.004060060299659533,0.3105679911872723,0.3113693283337567,11436602.17616059,1992,9,9.65,25.62,121.8,343.098,ERA5_real
1992-10-01,276.82458889560036,0.0010769966824048607,-0.002899044719060274,0.32428139251130067,0.3050543426545956,6522003.99036874,1992,10,3.67,33.39,89.87,202.182,ERA5_real
1992-11-01,268.24065709182423,0.001033384567891437,-0.0006955894799232351,0.3530933866678553,0.33479689515924554,3959266.5468883393,1992,11,-4.91,31.0,20.87,118.778,ERA5_real
1992-12-01,261.9291658774354,0.0006473095045805306,-0.00015084071114581087,0.33951932878596874,0.3282113154764233,2686069.501991309,1992,12,-11.22,20.07,4.68,83.268,ERA5_real
1993-01-01,262.3909684856895,0.0010336754551414453,-0.00022108368733584805,0.3348394782336192,0.3200045536664973,3571909.669546428,1993,1,-10.76,32.04,6.85,110.729,ERA5_real
1993-02-01,259.8775619017445,0.000796351089116051,-0.00027288533845610483,0.3384105084905771,0.3223077853987871,7535558.707390824,1993,2,-13.27,22.3,7.64,210.996,ERA5_real
1993-03-01,265.95446004848014,0.0010110278606320926,-0.0006032906385927308,0.35627371576436123,0.3304424404434994,11869328.695930693,1993,3,-7.2,31.34,18.7,367.949,ERA5_real
1993-04-01,275.58723585110164,0.0014362160799752624,-0.0026948564095652856,0.4182637885026632,0.408833753040145,16595902.1367616,1993,4,2.44,43.09,80.85,497.877,ERA5_real
1993-05-01,284.04040324511215,0.0012742506584872157,-0.006963666504870472,0.33965932632475393,0.3513365376715034,20875150.586756542,1993,5,10.89,39.5,215.87,647.13,ERA5_real
1993-06-01,291.6697715633586,0.0023721066136909376,-0.007313371570607937,0.3409305433947591,0.32697485592332615,21165637.321739145,1993,6,18.52,71.16,219.4,634.969,ERA5_real
1993-07-01,293.5349603721288,0.0026381807269093773,-0.007333850998135102,0.31511265686458606,0.3027037244803943,20007005.090976164,1993,7,20.38,81.78,227.35,620.217,ERA5_real
1993-08-01,291.95080224025503,0.0017822103042996577,-0.00658580712478998,0.3016389231626905,0.2941226264788426,17126505.830041025,1993,8,18.8,55.25,204.16,530.922,ERA5_real
1993-09-01,282.2361793913232,0.0014425312466775377,-0.0047132560529482385,0.33168856263117263,0.3166052298385272,11047017.895766556,1993,9,9.09,43.28,141.4,331.411,ERA5_real
1993-10-01,276.9435493772619,0.0010410302576538573,-0.002890758118997963,0.3319875234856867,0.32403361022022165,6547486.743992098,1993,10,3.79,32.27,89.61,202.972,ERA5_real
1993-11-01,258.02122556038347,0.0004979603251923949,-0.0003707393159299084,0.32248230778884757,0.3155503748994883,4408703.5766503,1993,11,-15.13,14.94,11.12,132.261,ERA5_real
1993-12-01,259.08607432614866,0.0007785044777285741,-0.000132421611548326,0.31777647186316055,0.3102045080484309,2875485.3020092878,1993,12,-14.06,24.13,4.11,89.14,ERA5_real
1994-01-01,258.951376979105,0.0006075655736636493,-8.03841842065876e-05,0.3160523065508665,0.3075680092746112,3825338.646301354,1994,1,-14.2,18.83,2.49,118.585,ERA5_real
1994-02-01,253.97099760639932,0.0008271223748553949,-0.00012937276561768296,0.3139879299371787,0.3060637065551894,7886936.15056658,1994,2,-19.18,23.16,3.62,220.834,ERA5_real
1994-03-01,264.08364524595265,0.0009454929657662567,-0.0005471400225779186,0.3448868739897716,0.319520417951766,12840964.165918553,1994,3,-9.07,29.31,16.96,398.07,ERA5_real
1994-04-01,277.3084393628072,0.0007532576634432921,-0.0035143281403655986,0.39948368928939526,0.4000976397632414,17435856.123097632,1994,4,4.16,22.6,105.43,523.076,ERA5_real
1994-05-01,286.6012610062413,0.0013867131399283796,-0.007426732781328974,0.3187212986981696,0.327587809568339,20423275.00638363,1994,5,13.45,42.99,230.23,633.122,ERA5_real
1994-06-01,294.6066101668063,0.0009824366852702563,-0.010402277701213178,0.2333747797421707,0.2501160820870659,23737701.397360995,1994,6,21.46,29.47,312.07,712.131,ERA5_real
1994-07-01,291.89456196517256,0.002635399440093427,-0.006735838172296577,0.3108918581991885,0.27476848482697125,17935857.4076243,1994,7,18.74,81.7,208.81,556.012,ERA5_real
1994-08-01,290.65355036427184,0.0020647466962459052,-0.005675233638784337,0.3218585998858828,0.30794950281283995,16428808.231932772,1994,8,17.5,64.01,175.93,509.293,ERA5_real
1994-09-01,284.8079578116556,0.0011935352404703425,-0.0048143177142233535,0.32362512172831803,0.31048164546404466,11747996.661160124,1994,9,11.66,35.81,144.43,352.44,ERA5_real
1994-10-01,278.7181059786385,0.00033018778861195435,-0.0030278930528751906,0.28517354053518823,0.2880207327059162,7676713.863586799,1994,10,5.57,10.24,93.86,237.978,ERA5_real
1994-11-01,269.4524969948375,0.0017842445968463787,-0.000995174737680095,0.3587627300054151,0.3260408373313296,3469092.0770108304,1994,11,-3.7,53.53,29.86,104.073,ERA5_real
1994-12-01,260.7776093660669,0.001077363822885821,-0.00013023085536673648,0.3562566969741426,0.34088970645416655,2735667.4688436203,1994,12,-12.37,33.4,4.04,84.806,ERA5_real
1995-01-01,258.7892818525966,0.0003574220125297677,-8.963315267064219e-05,0.343549073546227,0.32875697873214677,3950387.9836927443,1995,1,-14.36,11.08,2.78,122.462,ERA5_real
1995-02-01,264.87146538968045,0.0004352612348025845,-0.0003267186912380182,0.3423632478965145,0.32475277493608334,6868209.317053568,1995,2,-8.28,12.19,9.15,192.31,ERA5_real
1995-03-01,269.1486797905364,0.0005207191055195653,-0.0010371441924764463,0.3927417983810934,0.36425089932203525,12255678.63615651,1995,3,-4.0,16.14,32.15,379.926,ERA5_real
1995-04-01,282.66805254197965,0.00036676105453646785,-0.0058952321887549945,0.33747489680872395,0.35490005799856844,19117957.46908057,1995,4,9.52,11.0,176.86,573.539,ERA5_real
1995-05-01,286.60341360835946,0.0014070681669948394,-0.007397869143764901,0.2958524638926944,0.2845994535070431,20313513.279202,1995,5,13.45,43.62,229.33,629.719,ERA5_real
1995-06-01,292.33701181680163,0.0008902262173593816,-0.00932670807902001,0.2508965371003121,0.24757442588631695,23475784.59170885,1995,6,19.19,26.71,279.8,704.274,ERA5_real
1995-07-01,295.241134160666,0.0019421291315169728,-0.00901113466901401,0.26876893932735696,0.2511630742457693,20760072.22752717,1995,7,22.09,60.21,279.35,643.562,ERA5_real
1995-08-01,292.9741742259259,0.0011258779557311873,-0.008230249383823445,0.2484450780387512,0.23857975915731852,18310925.401791245,1995,8,19.82,34.9,255.14,567.639,ERA5_real
1995-09-01,285.79970211488785,0.0011493865602570173,-0.005289904827616518,0.27170267530502434,0.24428432152589677,12552708.982983157,1995,9,12.65,34.48,158.7,376.581,ERA5_real
1995-10-01,277.9601552365244,0.0014563428656118016,-0.0029810954091018392,0.3192314714641432,0.28911919161607824,7111348.921976674,1995,10,4.81,45.15,92.41,220.452,ERA5_real
1995-11-01,271.08965692444036,0.0008249802061745899,-0.0013174709785193654,0.3578599374444311,0.3394015721516644,4077533.9387598764,1995,11,-2.06,24.75,39.52,122.326,ERA5_real
1995-12-01,261.4642384863128,0.0012854008209529904,-0.00034943715518462526,0.33860483232157773,0.3231938427662728,2873291.1708438746,1995,12,-11.69,39.85,10.83,89.072,ERA5_real
1996-01-01,253.9077419619509,0.0005807219355513095,-6.951345275788465e-05,0.35267920706249345,0.3242619811549976,4069126.296841078,1996,1,-19.24,18.0,2.15,126.143,ERA5_real
1996-02-01,256.91907756614165,0.0006576653584987228,-0.00015481737354820058,0.3435504733296571,0.3165170340355809,7923584.908279955,1996,2,-16.23,19.07,4.49,229.784,ERA5_real
1996-03-01,263.075611842718,0.0002699102600425874,-0.0005293310567915893,0.3375088462226139,0.3122826565767318,13274219.723120479,1996,3,-10.07,8.37,16.41,411.501,ERA5_real
1996-04-01,274.1119951927958,0.0013481441233263744,-0.00307149476742596,0.4062591367320532,0.3811091831664237,17142465.328749646,1996,4,0.96,40.44,92.14,514.274,ERA5_real
1996-05-01,286.011121166903,0.0009386583950966323,-0.007282250904961191,0.3238306543591959,0.33073686974147415,21751129.957135297,1996,5,12.86,29.1,225.75,674.285,ERA5_real
1996-06-01,293.69325680790774,0.0011737387782786675,-0.009389231802809771,0.25124790151294946,0.25863703081009554,22919758.484845605,1996,6,20.54,35.21,281.68,687.593,ERA5_real
1996-07-01,294.2890327096985,0.0019934319932645075,-0.00767905399187301,0.28570922459440284,0.2617058314766392,20015809.443537325,1996,7,21.14,61.8,238.05,620.49,ERA5_real
1996-08-01,289.22344732953906,0.0018785122103598454,-0.006369587878226416,0.2872384018977901,0.26540245347500274,16432753.866575286,1996,8,16.07,58.23,197.46,509.415,ERA5_real
1996-09-01,284.5242866407385,0.0014604659014619632,-0.004393067016840497,0.30821015940953345,0.2866064379843969,10806653.744456008,1996,9,11.37,43.81,131.79,324.2,ERA5_real
1996-10-01,275.099689452816,0.0008318149632136867,-0.002195033937945736,0.3409994749881636,0.3215704609259546,6866634.820663046,1996,10,1.95,25.79,68.05,212.866,ERA5_real
1996-11-01,267.0661554067769,0.0005527703779608815,-0.0005454057789179551,0.34305901904026165,0.32864002300285644,3986792.3307092153,1996,11,-6.08,16.58,16.36,119.604,ERA5_real
1996-12-01,260.98871088956315,0.001146239324356913,-0.00040844572703261197,0.34589623394437913,0.3172460280344888,2917784.7897029705,1996,12,-12.16,35.53,12.66,90.451,ERA5_real
1997-01-01,259.4414430970981,0.0013203659025212231,-0.00014880014569189132,0.36378783058947933,0.31561362757581857,3742563.1673739445,1997,1,-13.71,40.93,4.61,116.019,ERA5_real
1997-02-01,261.2030889666906,0.0005083785308730937,-0.00029351367850185124,0.34601130269203123,0.3158044953771536,7543953.448177354,1997,2,-11.95,14.23,8.22,211.231,ERA5_real
1997-03-01,270.4316641184963,0.0005420384113825494,-0.000931180697247466,0.3687481152542332,0.33651418051501586,12457680.491348756,1997,3,-2.72,16.8,28.87,386.188,ERA5_real
1997-04-01,282.0596479484024,0.0005106535408614981,-0.005564532080633887,0.3653496560392175,0.3778362004943212,17788903.1629622,1997,4,8.91,15.32,166.94,533.667,ERA5_real
1997-05-01,287.6015874566648,0.0015671484348716395,-0.006975797463092696,0.3224670605122385,0.3202144246884876,19854323.21447973,1997,5,14.45,48.58,216.25,615.484,ERA5_real
1997-06-01,293.0110390901465,0.0007546289832402584,-0.010181940159363481,0.2268437548029609,0.23862565660335402,24401607.407607324,1997,6,19.86,22.64,305.46,732.048,ERA5_real
