year,region,crop,area_ha,production_ton,yield_kgha,source
1999,Северо-Казахстанская область,Ячмень,557977.0,840032.8,1550.0,stat_gov_kz_real
2000,Северо-Казахстанская область,Ячмень,472708.0,519236.80000000005,1100.0,stat_gov_kz_real
2001,Северо-Казахстанская область,Ячмень,465292.0,725513.2000000001,1570.0,stat_gov_kz_real
2002,Северо-Казахстанская область,Ячмень,435341.0,609948.36,1400.0,stat_gov_kz_real
2003,Северо-Казахстанская область,Ячмень,546916.0,621528.41,1160.0,stat_gov_kz_real
2004,Северо-Казахстанская область,Ячмень,356652.0,307756.46,869.9999999999999,stat_gov_kz_real
2005,Северо-Казахстанская область,Ячмень,315315.0,397902.39,1270.0,stat_gov_kz_real
2006,Северо-Казахстанская область,Ячмень,384554.0,592181.11,1550.0,stat_gov_kz_real
2007,Северо-Казахстанская область,Ячмень,411831.0,658525.79,1620.0,stat_gov_kz_real
2008,Северо-Казахстанская область,Ячмень,536986.4,729304.04,1390.0,stat_gov_kz_real
2009,Северо-Казахстанская область,Ячмень,410782.0,652166.2000000001,1590.0,stat_gov_kz_real
2010,Северо-Казахстанская область,Ячмень,435636.0,450767.7,1060.0,stat_gov_kz_real
2011,Северо-Казахстанская область,Ячмень,436948.1,886120.9800000001,2039.9999999999998,stat_gov_kz_real
2012,Северо-Казахстанская область,Ячмень,418332.9,468493.70999999996,1150.0,stat_gov_kz_real
2013,Северо-Казахстанская область,Ячмень,372991.0,558299.77,1510.0,stat_gov_kz_real
2014,Северо-Казахстанская область,Ячмень,435582.6,749369.0580000001,1820.0,stat_gov_kz_real
2015,Северо-Казахстанская область,Ячмень,454970.33999999997,725790.986,1600.0,stat_gov_kz_real
2016,Северо-Казахстанская область,Ячмень,418489.4,790714.0,1889.9999999999998,stat_gov_kz_real
2017,Северо-Казахстанская область,Ячмень,434106.4,806800.87,1860.0000000000002,stat_gov_kz_real
2018,Северо-Казахстанская область,Ячмень,545663.7,954307.16,1750.0,stat_gov_kz_real
2019,Северо-Казахстанская область,Ячмень,665523.5,1003251.4,1510.0,stat_gov_kz_real
2020,Северо-Казахстанская область,Ячмень,525547.0,728760.8,1420.0,stat_gov_kz_real
2021,Северо-Казахстанская область,Ячмень,387619.0,446538.52,1180.0,stat_gov_kz_real
2022,Северо-Казахстанская область,Ячмень,402466.29,645533.92,1610.0000000000002,stat_gov_kz_real
2023,Северо-Казахстанская область,Ячмень,508642.02,550162.454,1123.34,stat_gov_kz_real
2024,Северо-Казахстанская область,Ячмень,456635.0,840749.57,1860.0000000000002,stat_gov_kz_real
2025,Северо-Казахстанская область,Ячмень,424392.4,898033.79,2120.0,stat_gov_kz_real
