year,region,crop,district,area_ha,production_ton,yield_kgha,source
2015,Акмолинская область,Масличные (группа),Енбекшильдерский,17139.0,,,stat_gov_kz_real_group
2016,Акмолинская область,Масличные (группа),Енбекшильдерский,13275.0,,,stat_gov_kz_real_group
2017,Акмолинская область,Масличные (группа),Енбекшильдерский,23294.0,,,stat_gov_kz_real_group
2018,Акмолинская область,Масличные (группа),Енбекшильдерский,20856.0,,,stat_gov_kz_real_group
2019,Акмолинская область,Масличные (группа),Енбекшильдерский,24380.0,,,stat_gov_kz_real_group
2020,Акмолинская область,Масличные (группа),Енбекшильдерский,22064.8,,,stat_gov_kz_real_group
2021,Акмолинская область,Масличные (группа),Енбекшильдерский,16210.81,,,stat_gov_kz_real_group
2022,Акмолинская область,Масличные (группа),Енбекшильдерский,17390.1,,,stat_gov_kz_real_group
2023,Акмолинская область,Масличные (группа),Енбекшильдерский,7885.5,,,stat_gov_kz_real_group
2024,Акмолинская область,Масличные (группа),Енбекшильдерский,4113.0,,,stat_gov_kz_real_group
2025,Акмолинская область,Масличные (группа),Енбекшильдерский,25823.5,,,stat_gov_kz_real_group
1991,Акмолинская область,Зерновые и бобовые (группа),Ерейментауский,295200.0,113500.0,500.0,stat_gov_kz_real_group
1992,Акмолинская область,Зерновые и бобовые (группа),Ерейментауский,275200.0,388300.0,1590.0,stat_gov_kz_real_group
1993,Акмолинская область,Зерновые и бобовые (группа),Ерейментауский,253400.0,247800.0,950.0,stat_gov_kz_real_group
1994,Акмолинская область,Зерновые и бобовые (группа),Ерейментауский,231700.0,137100.0,470.0,stat_gov_kz_real_group
1995,Акмолинская область,Зерновые и бобовые (группа),Ерейментауский,225100.0,116400.0,509.99999999999994,stat_gov_kz_real_group
1996,Акмолинская область,Зерновые и бобовые (группа),Ерейментауский,223000.0,151700.0,810.0,stat_gov_kz_real_group
1997,Акмолинская область,Зерновые и бобовые (группа),Ерейментауский,164000.0,62000.0,430.0,stat_gov_kz_real_group
1998,Акмолинская область,Зерновые и бобовые (группа),Ерейментауский,124600.0,3900.0,200.0,stat_gov_kz_real_group
1999,Акмолинская область,Зерновые и бобовые (группа),Ерейментауский,64000.0,35900.0,640.0,stat_gov_kz_real_group
2000,Акмолинская область,Зерновые и бобовые (группа),Ерейментауский,100000.0,71500.0,720.0,stat_gov_kz_real_group
2001,Акмолинская область,Зерновые и бобовые (группа),Ерейментауский,100244.0,114800.0,1150.0,stat_gov_kz_real_group
2002,Акмолинская область,Зерновые и бобовые (группа),Ерейментауский,115563.0,95600.0,830.0000000000001,stat_gov_kz_real_group
2003,Акмолинская область,Зерновые и бобовые (группа),Ерейментауский,102150.0,55500.0,540.0,stat_gov_kz_real_group
2004,Акмолинская область,Зерновые и бобовые (группа),Ерейментауский,91802.0,45131.3,560.0,stat_gov_kz_real_group
2005,Акмолинская область,Зерновые и бобовые (группа),Ерейментауский,93392.0,30774.7,440.00000000000006,stat_gov_kz_real_group
2006,Акмолинская область,Зерновые и бобовые (группа),Ерейментауский,93736.0,79130.3,869.9999999999999,stat_gov_kz_real_group
2007,Акмолинская область,Зерновые и бобовые (группа),Ерейментауский,87510.0,82703.3,969.9999999999999,stat_gov_kz_real_group
2008,Акмолинская область,Зерновые и бобовые (группа),Ерейментауский,81262.0,28716.600000000002,420.0,stat_gov_kz_real_group
2009,Акмолинская область,Зерновые и бобовые (группа),Ерейментауский,94087.0,74770.2,790.0,stat_gov_kz_real_group
2010,Акмолинская область,Зерновые и бобовые (группа),Ерейментауский,83105.0,23561.09,370.0,stat_gov_kz_real_group
2011,Акмолинская область,Зерновые и бобовые (группа),Ерейментауский,77661.0,37414.700000000004,570.0,stat_gov_kz_real_group
2012,Акмолинская область,Зерновые и бобовые (группа),Ерейментауский,71039.0,20642.570000000003,480.0,stat_gov_kz_real_group
2013,Акмолинская область,Зерновые и бобовые (группа),Ерейментауский,73422.98,70575.2,969.9999999999999,stat_gov_kz_real_group
2014,Акмолинская область,Зерновые и бобовые (группа),Ерейментауский,71515.1,26313.692,500.0,stat_gov_kz_real_group
2015,Акмолинская область,Зерновые и бобовые (группа),Ерейментауский,66023.0,38729.700000000004,589.29,stat_gov_kz_real_group
2016,Акмолинская область,Зерновые и бобовые (группа),Ерейментауский,74574.0,52532.79000000001,762.96,stat_gov_kz_real_group
2017,Акмолинская область,Зерновые и бобовые (группа),Ерейментауский,63208.0,25373.45,453.59999999999997,stat_gov_kz_real_group
2018,Акмолинская область,Зерновые и бобовые (группа),Ерейментауский,64272.0,56933.07,910.0,stat_gov_kz_real_group
2019,Акмолинская область,Зерновые и бобовые (группа),Ерейментауский,63996.3,40595.55,630.0,stat_gov_kz_real_group
2020,Акмолинская область,Зерновые и бобовые (группа),Ерейментауский,76018.2,70974.35,940.0,stat_gov_kz_real_group
2021,Акмолинская область,Зерновые и бобовые (группа),Ерейментауский,90084.8,88164.40000000001,978.68,stat_gov_kz_real_group
2022,Акмолинская область,Зерновые и бобовые (группа),Ерейментауский,93875.0,97354.90000000001,1037.07,stat_gov_kz_real_group
2023,Акмолинская область,Зерновые и бобовые (группа),Ерейментауский,115985.7,19839.620000000003,260.0,stat_gov_kz_real_group
2024,Акмолинская область,Зерновые и бобовые (группа),Ерейментауский,88203.5,103252.22,1180.0,stat_gov_kz_real_group
2025,Акмолинская область,Зерновые и бобовые (группа),Ерейментауский,80920.6,111489.16000000002,1380.0,stat_gov_kz_real_group
1991,Акмолинская область,Масличные (группа),Ерейментауский,2300.0,521.0,300.0,stat_gov_kz_real_group
1992,Акмолинская область,Масличные (группа),Ерейментауский,4200.0,769.4000000000001,229.99999999999997,stat_gov_kz_real_group
1993,Акмолинская область,Масличные (группа),Ерейментауский,1800.0,560.1,350.0,stat_gov_kz_real_group
1994,Акмолинская область,Масличные (группа),Ерейментауский,2100.0,498.5,240.0,stat_gov_kz_real_group
1995,Акмолинская область,Масличные (группа),Ерейментауский,1400.0,399.40000000000003,300.0,stat_gov_kz_real_group
1996,Акмолинская область,Масличные (группа),Ерейментауский,1700.0,232.9,,stat_gov_kz_real_group
1997,Акмолинская область,Масличные (группа),Ерейментауский,900.0,230.9,,stat_gov_kz_real_group
1998,Акмолинская область,Масличные (группа),Ерейментауский,1200.0,57.6,,stat_gov_kz_real_group
1999,Акмолинская область,Масличные (группа),Ерейментауский,900.0,126.60000000000001,140.0,stat_gov_kz_real_group
2000,Акмолинская область,Масличные (группа),Ерейментауский,1800.0,649.5,360.0,stat_gov_kz_real_group
2001,Акмолинская область,Масличные (группа),Ерейментауский,660.0,66.60000000000001,100.0,stat_gov_kz_real_group
2002,Акмолинская область,Масличные (группа),Ерейментауский,1070.0,100.7,90.0,stat_gov_kz_real_group
2003,Акмолинская область,Масличные (группа),Ерейментауский,1070.0,86.7,80.0,stat_gov_kz_real_group
2004,Акмолинская область,Масличные (группа),Ерейментауский,10688.0,1254.2,120.0,stat_gov_kz_real_group
2005,Акмолинская область,Масличные (группа),Ерейментауский,4840.0,200.5,100.0,stat_gov_kz_real_group
2009,Акмолинская область,Масличные (группа),Ерейментауский,376.0,151.8,400.0,stat_gov_kz_real_group
2010,Акмолинская область,Масличные (группа),Ерейментауский,3130.0,42.5,100.0,stat_gov_kz_real_group
2011,Акмолинская область,Масличные (группа),Ерейментауский,1400.0,207.20000000000002,259.96999999999997,stat_gov_kz_real_group
2012,Акмолинская область,Масличные (группа),Ерейментауский,1404.5,,,stat_gov_kz_real_group
2013,Акмолинская область,Масличные (группа),Ерейментауский,6545.0,4047.7000000000003,668.38,stat_gov_kz_real_group
2014,Акмолинская область,Масличные (группа),Ерейментауский,12521.0,1046.3,178.25,stat_gov_kz_real_group
2015,Акмолинская область,Масличные (группа),Ерейментауский,5113.0,1221.3,238.85999999999999,stat_gov_kz_real_group
2016,Акмолинская область,Масличные (группа),Ерейментауский,4534.0,2696.5,594.73,stat_gov_kz_real_group
2017,Акмолинская область,Масличные (группа),Ерейментауский,13054.0,2283.0,271.03999999999996,stat_gov_kz_real_group
2018,Акмолинская область,Масличные (группа),Ерейментауский,1640.0,847.1,520.0,stat_gov_kz_real_group
2019,Акмолинская область,Масличные (группа),Ерейментауский,1026.1,543.5600000000001,530.0,stat_gov_kz_real_group
2020,Акмолинская область,Масличные (группа),Ерейментауский,1060.0,830.0,780.0,stat_gov_kz_real_group
2021,Акмолинская область,Масличные (группа),Ерейментауский,1225.0,565.0,461.21999999999997,stat_gov_kz_real_group
2022,Акмолинская область,Масличные (группа),Ерейментауский,5977.0,2605.5,440.00000000000006,stat_gov_kz_real_group
2023,Акмолинская область,Масличные (группа),Ерейментауский,2387.0,426.0,320.0,stat_gov_kz_real_group
2024,Акмолинская область,Масличные (группа),Ерейментауский,4262.0,3340.3,850.0,stat_gov_kz_real_group
2025,Акмолинская область,Масличные (группа),Ерейментауский,12068.0,11392.550000000001,940.0,stat_gov_kz_real_group
1991,Акмолинская область,Подсолнечник,Ерейментауский,,264.0,320.0,stat_gov_kz_real
1992,Акмолинская область,Подсолнечник,Ерейментауский,,640.0,240.0,stat_gov_kz_real
1993,Акмолинская область,Подсолнечник,Ерейментауский,,544.8000000000001,370.0,stat_gov_kz_real
1994,Акмолинская область,Подсолнечник,Ерейментауский,,498.5,240.0,stat_gov_kz_real
1995,Акмолинская область,Подсолнечник,Ерейментауский,,145.5,300.0,stat_gov_kz_real
1996,Акмолинская область,Подсолнечник,Ерейментауский,,232.9,140.0,stat_gov_kz_real
1997,Акмолинская область,Подсолнечник,Ерейментауский,,230.9,250.0,stat_gov_kz_real
1998,Акмолинская область,Подсолнечник,Ерейментауский,,57.6,50.0,stat_gov_kz_real
1999,Акмолинская область,Подсолнечник,Ерейментауский,,126.60000000000001,140.0,stat_gov_kz_real
2000,Акмолинская область,Подсолнечник,Ерейментауский,,649.5,450.0,stat_gov_kz_real
2001,Акмолинская область,Подсолнечник,Ерейментауский,,66.60000000000001,100.0,stat_gov_kz_real
2002,Акмолинская область,Подсолнечник,Ерейментауский,,100.7,70.0,stat_gov_kz_real
2003,Акмолинская область,Подсолнечник,Ерейментауский,,86.7,60.0,stat_gov_kz_real
2004,Акмолинская область,Подсолнечник,Ерейментауский,,642.2,120.0,stat_gov_kz_real
2005,Акмолинская область,Подсолнечник,Ерейментауский,,197.70000000000002,120.0,stat_gov_kz_real
2009,Акмолинская область,Подсолнечник,Ерейментауский,,151.8,400.0,stat_gov_kz_real
2010,Акмолинская область,Подсолнечник,Ерейментауский,,22.5,60.0,stat_gov_kz_real
2011,Акмолинская область,Подсолнечник,Ерейментауский,,25.0,180.0,stat_gov_kz_real
2013,Акмолинская область,Подсолнечник,Ерейментауский,,213.0,210.0,stat_gov_kz_real
2014,Акмолинская область,Подсолнечник,Ерейментауский,,8.5,90.0,stat_gov_kz_real
2015,Акмолинская область,Подсолнечник,Ерейментауский,,76.0,55.230000000000004,stat_gov_kz_real
2016,Акмолинская область,Подсолнечник,Ерейментауский,,119.0,990.0,stat_gov_kz_real
2017,Акмолинская область,Подсолнечник,Ерейментауский,,95.0,480.0,stat_gov_kz_real
2018,Акмолинская область,Подсолнечник,Ерейментауский,,47.5,480.0,stat_gov_kz_real
2023,Акмолинская область,Подсолнечник,Ерейментауский,,370.0,310.0,stat_gov_kz_real
2024,Акмолинская область,Подсолнечник,Ерейментауский,,2899.3,919.9999999999999,stat_gov_kz_real
2025,Акмолинская область,Подсолнечник,Ерейментауский,,2782.42,780.0,stat_gov_kz_real
1991,Акмолинская область,Пшеница,Ерейментауский,,91800.0,1000.0,stat_gov_kz_real
1992,Акмолинская область,Пшеница,Ерейментауский,,306200.0,1650.0,stat_gov_kz_real
1993,Акмолинская область,Пшеница,Ерейментауский,,182800.0,940.0,stat_gov_kz_real
1994,Акмолинская область,Пшеница,Ерейментауский,,93900.0,380.0,stat_gov_kz_real
1995,Акмолинская область,Пшеница,Ерейментауский,,87400.0,490.00000000000006,stat_gov_kz_real
1996,Акмолинская область,Пшеница,Ерейментауский,,130800.00000000001,830.0000000000001,stat_gov_kz_real
1997,Акмолинская область,Пшеница,Ерейментауский,,57400.0,459.99999999999994,stat_gov_kz_real
1998,Акмолинская область,Пшеница,Ерейментауский,,1500.0,320.0,stat_gov_kz_real
1999,Акмолинская область,Пшеница,Ерейментауский,61.6,34200.0,630.0,stat_gov_kz_real
2000,Акмолинская область,Пшеница,Ерейментауский,87.0,61900.0,710.0,stat_gov_kz_real
2001,Акмолинская область,Пшеница,Ерейментауский,84.1,95560.0,1140.0,stat_gov_kz_real
2002,Акмолинская область,Пшеница,Ерейментауский,97.8,85400.0,860.0,stat_gov_kz_real
2003,Акмолинская область,Пшеница,Ерейментауский,85.2,46300.0,540.0,stat_gov_kz_real
2004,Акмолинская область,Пшеница,Ерейментауский,81008.0,41821.200000000004,590.0,stat_gov_kz_real
2005,Акмолинская область,Пшеница,Ерейментауский,85159.0,28325.5,440.00000000000006,stat_gov_kz_real
2006,Акмолинская область,Пшеница,Ерейментауский,85435.0,74560.3,869.9999999999999,stat_gov_kz_real
2007,Акмолинская область,Пшеница,Ерейментауский,79815.0,73377.90000000001,930.0000000000001,stat_gov_kz_real
2008,Акмолинская область,Пшеница,Ерейментауский,72067.0,26611.300000000003,430.0,stat_gov_kz_real
2009,Акмолинская область,Пшеница,Ерейментауский,86619.0,69044.08,800.0,stat_gov_kz_real
2010,Акмолинская область,Пшеница,Ерейментауский,76987.0,22362.210000000003,370.0,stat_gov_kz_real
2011,Акмолинская область,Пшеница,Ерейментауский,70832.0,34866.5,560.0,stat_gov_kz_real
2012,Акмолинская область,Пшеница,Ерейментауский,61299.0,17313.7,470.0,stat_gov_kz_real
2013,Акмолинская область,Пшеница,Ерейментауский,56878.0,51981.200000000004,919.9999999999999,stat_gov_kz_real
2014,Акмолинская область,Пшеница,Ерейментауский,53723.13,21207.072,500.0,stat_gov_kz_real
2015,Акмолинская область,Пшеница,Ерейментауский,48598.0,31845.600000000002,660.0,stat_gov_kz_real
2016,Акмолинская область,Пшеница,Ерейментауский,59170.0,41079.700000000004,760.0,stat_gov_kz_real
2017,Акмолинская область,Пшеница,Ерейментауский,43568.0,18226.9,470.0,stat_gov_kz_real
2018,Акмолинская область,Пшеница,Ерейментауский,45980.0,44819.01,969.9999999999999,stat_gov_kz_real
2019,Акмолинская область,Пшеница,Ерейментауский,47122.3,29022.65,620.0,stat_gov_kz_real
2020,Акмолинская область,Пшеница,Ерейментауский,59347.2,56272.9,950.0,stat_gov_kz_real
2021,Акмолинская область,Пшеница,Ерейментауский,70778.2,71756.3,1013.8199999999999,stat_gov_kz_real
2022,Акмолинская область,Пшеница,Ерейментауский,74166.0,78097.90000000001,1053.01,stat_gov_kz_real
2023,Акмолинская область,Пшеница,Ерейментауский,94334.7,17936.72,270.0,stat_gov_kz_real
2024,Акмолинская область,Пшеница,Ерейментауский,69689.5,83366.82,1200.0,stat_gov_kz_real
2025,Акмолинская область,Пшеница,Ерейментауский,63670.6,89586.41,1410.0,stat_gov_kz_real
1991,Акмолинская область,Зерновые и бобовые (группа),Есильский,475500.0,289400.0,,stat_gov_kz_real_group
1992,Акмолинская область,Зерновые и бобовые (группа),Есильский,488400.0,582600.0,,stat_gov_kz_real_group
1993,Акмолинская область,Зерновые и бобовые (группа),Есильский,498400.0,319900.0,,stat_gov_kz_real_group
1994,Акмолинская область,Зерновые и бобовые (группа),Есильский,471600.0,247400.0,,stat_gov_kz_real_group
1995,Акмолинская область,Зерновые и бобовые (группа),Есильский,395500.0,197800.0,,stat_gov_kz_real_group
1996,Акмолинская область,Зерновые и бобовые (группа),Есильский,379600.0,207000.0,,stat_gov_kz_real_group
1997,Акмолинская область,Зерновые и бобовые (группа),Есильский,362900.0,220700.0,660.0,stat_gov_kz_real_group
1998,Акмолинская область,Зерновые и бобовые (группа),Есильский,337100.0,88200.0,280.0,stat_gov_kz_real_group
1999,Акмолинская область,Зерновые и бобовые (группа),Есильский,300848.0,317100.0,1050.0,stat_gov_kz_real_group
2000,Акмолинская область,Зерновые и бобовые (группа),Есильский,380107.0,192100.0,509.99999999999994,stat_gov_kz_real_group
2001,Акмолинская область,Зерновые и бобовые (группа),Есильский,310585.0,279100.0,900.0,stat_gov_kz_real_group
2002,Акмолинская область,Зерновые и бобовые (группа),Есильский,305000.0,277700.0,910.0,stat_gov_kz_real_group
2003,Акмолинская область,Зерновые и бобовые (группа),Есильский,305993.0,258300.0,840.0,stat_gov_kz_real_group
2004,Акмолинская область,Зерновые и бобовые (группа),Есильский,349883.0,182222.90000000002,540.0,stat_gov_kz_real_group
2005,Акмолинская область,Зерновые и бобовые (группа),Есильский,332064.0,236249.2,720.0,stat_gov_kz_real_group
2006,Акмолинская область,Зерновые и бобовые (группа),Есильский,403831.0,325044.80000000005,810.0,stat_gov_kz_real_group
2007,Акмолинская область,Зерновые и бобовые (группа),Есильский,421761.0,522902.30000000005,1240.0,stat_gov_kz_real_group
2008,Акмолинская область,Зерновые и бобовые (группа),Есильский,438857.0,281694.4,650.0,stat_gov_kz_real_group
2009,Акмолинская область,Зерновые и бобовые (группа),Есильский,481843.0,391649.9,810.0,stat_gov_kz_real_group
2010,Акмолинская область,Зерновые и бобовые (группа),Есильский,471197.0,142703.6,310.0,stat_gov_kz_real_group
2011,Акмолинская область,Зерновые и бобовые (группа),Есильский,426675.0,826015.5,1960.0000000000002,stat_gov_kz_real_group
2012,Акмолинская область,Зерновые и бобовые (группа),Есильский,454864.2,250275.54,590.0,stat_gov_kz_real_group
2013,Акмолинская область,Зерновые и бобовые (группа),Есильский,437048.4,379496.5,869.9999999999999,stat_gov_kz_real_group
2014,Акмолинская область,Зерновые и бобовые (группа),Есильский,438289.37,455785.20700000005,1040.0,stat_gov_kz_real_group
2015,Акмолинская область,Зерновые и бобовые (группа),Есильский,450763.4,470600.99000000005,1047.7,stat_gov_kz_real_group
2016,Акмолинская область,Зерновые и бобовые (группа),Есильский,453804.0,510103.10000000003,1149.34,stat_gov_kz_real_group
2017,Акмолинская область,Зерновые и бобовые (группа),Есильский,435942.4,520020.10000000003,1211.77,stat_gov_kz_real_group
2018,Акмолинская область,Зерновые и бобовые (группа),Есильский,440092.4,402718.02,919.9999999999999,stat_gov_kz_real_group
2019,Акмолинская область,Зерновые и бобовые (группа),Есильский,446786.7,372140.2,830.0000000000001,stat_gov_kz_real_group
2020,Акмолинская область,Зерновые и бобовые (группа),Есильский,419207.7,387598.96,919.9999999999999,stat_gov_kz_real_group
2021,Акмолинская область,Зерновые и бобовые (группа),Есильский,446029.58,293551.419,659.34,stat_gov_kz_real_group
2022,Акмолинская область,Зерновые и бобовые (группа),Есильский,446597.1,509087.32000000007,1139.93,stat_gov_kz_real_group
2023,Акмолинская область,Зерновые и бобовые (группа),Есильский,452019.2,342733.68,760.0,stat_gov_kz_real_group
2024,Акмолинская область,Зерновые и бобовые (группа),Есильский,442624.05,493509.01,1120.0,stat_gov_kz_real_group
2025,Акмолинская область,Зерновые и бобовые (группа),Есильский,430825.7,573654.9,1340.0,stat_gov_kz_real_group
1991,Акмолинская область,Масличные (группа),Есильский,600.0,,,stat_gov_kz_real_group
1992,Акмолинская область,Масличные (группа),Есильский,5200.0,,,stat_gov_kz_real_group
1993,Акмолинская область,Масличные (группа),Есильский,2400.0,,,stat_gov_kz_real_group
1994,Акмолинская область,Масличные (группа),Есильский,2100.0,,,stat_gov_kz_real_group
1995,Акмолинская область,Масличные (группа),Есильский,1400.0,,,stat_gov_kz_real_group
1996,Акмолинская область,Масличные (группа),Есильский,800.0,,,stat_gov_kz_real_group
1997,Акмолинская область,Масличные (группа),Есильский,400.0,12.4,,stat_gov_kz_real_group
1998,Акмолинская область,Масличные (группа),Есильский,100.0,0.8,,stat_gov_kz_real_group
1999,Акмолинская область,Масличные (группа),Есильский,100.0,68.60000000000001,520.0,stat_gov_kz_real_group
2000,Акмолинская область,Масличные (группа),Есильский,1000.0,25.0,30.0,stat_gov_kz_real_group
2001,Акмолинская область,Масличные (группа),Есильский,440.0,7.6000000000000005,20.0,stat_gov_kz_real_group
2002,Акмолинская область,Масличные (группа),Есильский,120.0,24.8,210.0,stat_gov_kz_real_group
2003,Акмолинская область,Масличные (группа),Есильский,1330.0,164.70000000000002,120.0,stat_gov_kz_real_group
2004,Акмолинская область,Масличные (группа),Есильский,120.0,7.6000000000000005,60.0,stat_gov_kz_real_group
2005,Акмолинская область,Масличные (группа),Есильский,120.0,14.4,120.0,stat_gov_kz_real_group
2006,Акмолинская область,Масличные (группа),Есильский,20.0,1.6,80.0,stat_gov_kz_real_group
2007,Акмолинская область,Масличные (группа),Есильский,210.0,45.0,210.0,stat_gov_kz_real_group
2008,Акмолинская область,Масличные (группа),Есильский,1000.0,0.30000000000000004,,stat_gov_kz_real_group
2009,Акмолинская область,Масличные (группа),Есильский,500.0,16.900000000000002,120.0,stat_gov_kz_real_group
2010,Акмолинская область,Масличные (группа),Есильский,4533.0,631.95,140.0,stat_gov_kz_real_group
2011,Акмолинская область,Масличные (группа),Есильский,26361.0,13116.1,497.56,stat_gov_kz_real_group
2012,Акмолинская область,Масличные (группа),Есильский,17800.0,2659.6000000000004,228.82,stat_gov_kz_real_group
2013,Акмолинская область,Масличные (группа),Есильский,26213.0,13499.0,514.97,stat_gov_kz_real_group
2014,Акмолинская область,Масличные (группа),Есильский,34434.6,13774.900000000001,400.03000000000003,stat_gov_kz_real_group
2015,Акмолинская область,Масличные (группа),Есильский,30131.0,16499.9,547.61,stat_gov_kz_real_group
2016,Акмолинская область,Масличные (группа),Есильский,22569.0,18839.3,1063.8899999999999,stat_gov_kz_real_group
2017,Акмолинская область,Масличные (группа),Есильский,23714.0,21011.410000000003,886.0300000000001,stat_gov_kz_real_group
2018,Акмолинская область,Масличные (группа),Есильский,22285.0,12481.300000000001,600.0,stat_gov_kz_real_group
2019,Акмолинская область,Масличные (группа),Есильский,24045.0,11348.0,560.0,stat_gov_kz_real_group
2020,Акмолинская область,Масличные (группа),Есильский,18492.0,11075.2,600.0,stat_gov_kz_real_group
2021,Акмолинская область,Масличные (группа),Есильский,21724.5,9157.300000000001,421.52000000000004,stat_gov_kz_real_group
2022,Акмолинская область,Масличные (группа),Есильский,36254.1,21701.88,600.0,stat_gov_kz_real_group
2023,Акмолинская область,Масличные (группа),Есильский,21458.5,7956.200000000001,420.0,stat_gov_kz_real_group
2024,Акмолинская область,Масличные (группа),Есильский,24871.6,23527.83,950.0,stat_gov_kz_real_group
2025,Акмолинская область,Масличные (группа),Есильский,45788.2,37102.770000000004,810.0,stat_gov_kz_real_group
1997,Акмолинская область,Подсолнечник,Есильский,,12.4,60.0,stat_gov_kz_real
1998,Акмолинская область,Подсолнечник,Есильский,,0.8,20.0,stat_gov_kz_real
2000,Акмолинская область,Подсолнечник,Есильский,,25.0,30.0,stat_gov_kz_real
2001,Акмолинская область,Подсолнечник,Есильский,,2.0,10.0,stat_gov_kz_real
2003,Акмолинская область,Подсолнечник,Есильский,,99.0,,stat_gov_kz_real
2007,Акмолинская область,Подсолнечник,Есильский,,34.0,340.0,stat_gov_kz_real
2008,Акмолинская область,Подсолнечник,Есильский,,,10.0,stat_gov_kz_real
2009,Акмолинская область,Подсолнечник,Есильский,,4.2,40.0,stat_gov_kz_real
2010,Акмолинская область,Подсолнечник,Есильский,,382.5,190.0,stat_gov_kz_real
2011,Акмолинская область,Подсолнечник,Есильский,,1047.6000000000001,150.0,stat_gov_kz_real
2012,Акмолинская область,Подсолнечник,Есильский,,321.8,180.0,stat_gov_kz_real
2013,Акмолинская область,Подсолнечник,Есильский,,3096.0,550.0,stat_gov_kz_real
2014,Акмолинская область,Подсолнечник,Есильский,,1565.0,360.0,stat_gov_kz_real
2015,Акмолинская область,Подсолнечник,Есильский,,1991.0,738.23,stat_gov_kz_real
2016,Акмолинская область,Подсолнечник,Есильский,,6833.1,1330.0,stat_gov_kz_real
2017,Акмолинская область,Подсолнечник,Есильский,,14117.210000000001,1210.0,stat_gov_kz_real
2018,Акмолинская область,Подсолнечник,Есильский,,4617.2,530.0,stat_gov_kz_real
2019,Акмолинская область,Подсолнечник,Есильский,,3583.2000000000003,630.0,stat_gov_kz_real
2020,Акмолинская область,Подсолнечник,Есильский,,3560.4,730.0,stat_gov_kz_real
2021,Акмолинская область,Подсолнечник,Есильский,,3873.5,470.0,stat_gov_kz_real
2022,Акмолинская область,Подсолнечник,Есильский,,9006.300000000001,890.0,stat_gov_kz_real
2023,Акмолинская область,Подсолнечник,Есильский,,4828.6,560.0,stat_gov_kz_real
2024,Акмолинская область,Подсолнечник,Есильский,,13036.45,1310.0,stat_gov_kz_real
2025,Акмолинская область,Подсолнечник,Есильский,,17440.120000000003,1060.0,stat_gov_kz_real
1991,Акмолинская область,Пшеница,Есильский,,233700.0,,stat_gov_kz_real
1992,Акмолинская область,Пшеница,Есильский,,459200.0,,stat_gov_kz_real
1993,Акмолинская область,Пшеница,Есильский,,213200.0,,stat_gov_kz_real
1994,Акмолинская область,Пшеница,Есильский,,179500.0,,stat_gov_kz_real
1995,Акмолинская область,Пшеница,Есильский,,152400.0,,stat_gov_kz_real
1996,Акмолинская область,Пшеница,Есильский,,167300.0,,stat_gov_kz_real
1997,Акмолинская область,Пшеница,Есильский,,191800.0,680.0,stat_gov_kz_real
1998,Акмолинская область,Пшеница,Есильский,,78700.0,290.0,stat_gov_kz_real
1999,Акмолинская область,Пшеница,Есильский,269.2,279200.0,1040.0,stat_gov_kz_real
2000,Акмолинская область,Пшеница,Есильский,336.8,170300.0,509.99999999999994,stat_gov_kz_real
2001,Акмолинская область,Пшеница,Есильский,275.9,241000.0,869.9999999999999,stat_gov_kz_real
2002,Акмолинская область,Пшеница,Есильский,282.0,245400.0,869.9999999999999,stat_gov_kz_real
2003,Акмолинская область,Пшеница,Есильский,271.2,222400.0,819.9999999999999,stat_gov_kz_real
2004,Акмолинская область,Пшеница,Есильский,313351.0,164129.80000000002,540.0,stat_gov_kz_real
2005,Акмолинская область,Пшеница,Есильский,303184.0,215082.40000000002,720.0,stat_gov_kz_real
2006,Акмолинская область,Пшеница,Есильский,365428.0,293192.0,800.0,stat_gov_kz_real
2007,Акмолинская область,Пшеница,Есильский,389726.0,469231.80000000005,1210.0,stat_gov_kz_real
2008,Акмолинская область,Пшеница,Есильский,399061.0,252297.5,650.0,stat_gov_kz_real
2009,Акмолинская область,Пшеница,Есильский,446986.0,360951.5,810.0,stat_gov_kz_real
2010,Акмолинская область,Пшеница,Есильский,439866.0,133416.5,310.0,stat_gov_kz_real
2011,Акмолинская область,Пшеница,Есильский,398859.0,762087.5,1939.9999999999998,stat_gov_kz_real
2012,Акмолинская область,Пшеница,Есильский,415564.0,226684.90000000002,590.0,stat_gov_kz_real
2013,Акмолинская область,Пшеница,Есильский,394749.4,331282.7,840.0,stat_gov_kz_real
2014,Акмолинская область,Пшеница,Есильский,400368.4,408034.943,1019.9999999999999,stat_gov_kz_real
2015,Акмолинская область,Пшеница,Есильский,417518.4,431721.10000000003,1040.0,stat_gov_kz_real
2016,Акмолинская область,Пшеница,Есильский,415742.4,444420.4,1090.0,stat_gov_kz_real
2017,Акмолинская область,Пшеница,Есильский,385739.4,446427.4,1180.0,stat_gov_kz_real
2018,Акмолинская область,Пшеница,Есильский,379931.4,334102.10000000003,880.0000000000001,stat_gov_kz_real
2019,Акмолинская область,Пшеница,Есильский,373392.2,307167.37000000005,819.9999999999999,stat_gov_kz_real
2020,Акмолинская область,Пшеница,Есильский,359367.7,337596.54000000004,940.0,stat_gov_kz_real
2021,Акмолинская область,Пшеница,Есильский,405733.92,267121.5,658.37,stat_gov_kz_real
2022,Акмолинская область,Пшеница,Есильский,402833.6,450955.01,1119.46,stat_gov_kz_real
2023,Акмолинская область,Пшеница,Есильский,401300.2,299070.31,750.0,stat_gov_kz_real
