lat,lon,property,depth,value_raw,value,unit,source
53.0,71.0,sand,0-5cm,404,40.4,g/kg,SoilGrids_v2
53.0,71.0,sand,5-15cm,406,40.6,g/kg,SoilGrids_v2
53.0,71.0,sand,15-30cm,413,41.3,g/kg,SoilGrids_v2
53.0,71.0,sand,30-60cm,407,40.7,g/kg,SoilGrids_v2
53.0,71.0,silt,0-5cm,355,35.5,g/kg,SoilGrids_v2
53.0,71.0,silt,5-15cm,354,35.4,g/kg,SoilGrids_v2
53.0,71.0,silt,15-30cm,347,34.7,g/kg,SoilGrids_v2
53.0,71.0,silt,30-60cm,342,34.2,g/kg,SoilGrids_v2
53.0,71.0,soc,0-5cm,599,59.9,dg/kg,SoilGrids_v2
53.0,71.0,soc,5-15cm,560,56.0,dg/kg,SoilGrids_v2
53.0,71.0,soc,15-30cm,297,29.7,dg/kg,SoilGrids_v2
53.0,71.0,soc,30-60cm,312,31.2,dg/kg,SoilGrids_v2
53.0,74.0,bdod,0-5cm,106,1.06,cg/cm³,SoilGrids_v2
53.0,74.0,bdod,5-15cm,120,1.2,cg/cm³,SoilGrids_v2
53.0,74.0,bdod,15-30cm,131,1.31,cg/cm³,SoilGrids_v2
53.0,74.0,bdod,30-60cm,139,1.39,cg/cm³,SoilGrids_v2
53.0,74.0,cec,0-5cm,389,38.9,mmol(c)/kg,SoilGrids_v2
53.0,74.0,cec,5-15cm,382,38.2,mmol(c)/kg,SoilGrids_v2
53.0,74.0,cec,15-30cm,394,39.4,mmol(c)/kg,SoilGrids_v2
53.0,74.0,cec,30-60cm,393,39.3,mmol(c)/kg,SoilGrids_v2
53.0,74.0,clay,0-5cm,237,23.7,g/kg,SoilGrids_v2
53.0,74.0,clay,5-15cm,236,23.6,g/kg,SoilGrids_v2
53.0,74.0,clay,15-30cm,232,23.2,g/kg,SoilGrids_v2
53.0,74.0,clay,30-60cm,255,25.5,g/kg,SoilGrids_v2
53.0,74.0,nitrogen,0-5cm,503,5.03,cg/kg,SoilGrids_v2
53.0,74.0,nitrogen,5-15cm,275,2.75,cg/kg,SoilGrids_v2
53.0,74.0,nitrogen,15-30cm,204,2.04,cg/kg,SoilGrids_v2
53.0,74.0,nitrogen,30-60cm,181,1.81,cg/kg,SoilGrids_v2
53.0,74.0,phh2o,0-5cm,68,6.8,pH*10,SoilGrids_v2
53.0,74.0,phh2o,5-15cm,70,7.0,pH*10,SoilGrids_v2
53.0,74.0,phh2o,15-30cm,71,7.1,pH*10,SoilGrids_v2
53.0,74.0,phh2o,30-60cm,74,7.4,pH*10,SoilGrids_v2
53.0,74.0,sand,0-5cm,412,41.2,g/kg,SoilGrids_v2
53.0,74.0,sand,5-15cm,395,39.5,g/kg,SoilGrids_v2
53.0,74.0,sand,15-30cm,402,40.2,g/kg,SoilGrids_v2
53.0,74.0,sand,30-60cm,386,38.6,g/kg,SoilGrids_v2
53.0,74.0,silt,0-5cm,351,35.1,g/kg,SoilGrids_v2
53.0,74.0,silt,5-15cm,370,37.0,g/kg,SoilGrids_v2
53.0,74.0,silt,15-30cm,366,36.6,g/kg,SoilGrids_v2
53.0,74.0,silt,30-60cm,359,35.9,g/kg,SoilGrids_v2
53.0,74.0,soc,0-5cm,630,63.0,dg/kg,SoilGrids_v2
53.0,74.0,soc,5-15cm,405,40.5,dg/kg,SoilGrids_v2
53.0,74.0,soc,15-30cm,279,27.9,dg/kg,SoilGrids_v2
53.0,74.0,soc,30-60cm,263,26.3,dg/kg,SoilGrids_v2
54.5,62.0,bdod,0-5cm,99,0.99,cg/cm³,SoilGrids_v2
54.5,62.0,bdod,5-15cm,111,1.11,cg/cm³,SoilGrids_v2
54.5,62.0,bdod,15-30cm,127,1.27,cg/cm³,SoilGrids_v2
54.5,62.0,bdod,30-60cm,137,1.37,cg/cm³,SoilGrids_v2
54.5,62.0,cec,0-5cm,377,37.7,mmol(c)/kg,SoilGrids_v2
54.5,62.0,cec,5-15cm,367,36.7,mmol(c)/kg,SoilGrids_v2
54.5,62.0,cec,15-30cm,341,34.1,mmol(c)/kg,SoilGrids_v2
54.5,62.0,cec,30-60cm,332,33.2,mmol(c)/kg,SoilGrids_v2
54.5,62.0,clay,0-5cm,274,27.4,g/kg,SoilGrids_v2
54.5,62.0,clay,5-15cm,298,29.8,g/kg,SoilGrids_v2
54.5,62.0,clay,15-30cm,301,30.1,g/kg,SoilGrids_v2
54.5,62.0,clay,30-60cm,326,32.6,g/kg,SoilGrids_v2
54.5,62.0,nitrogen,0-5cm,416,4.16,cg/kg,SoilGrids_v2
54.5,62.0,nitrogen,5-15cm,341,3.41,cg/kg,SoilGrids_v2
54.5,62.0,nitrogen,15-30cm,443,4.43,cg/kg,SoilGrids_v2
54.5,62.0,nitrogen,30-60cm,433,4.33,cg/kg,SoilGrids_v2
54.5,62.0,phh2o,0-5cm,67,6.7,pH*10,SoilGrids_v2
54.5,62.0,phh2o,5-15cm,68,6.8,pH*10,SoilGrids_v2
54.5,62.0,phh2o,15-30cm,69,6.9,pH*10,SoilGrids_v2
54.5,62.0,phh2o,30-60cm,73,7.3,pH*10,SoilGrids_v2
54.5,62.0,sand,0-5cm,295,29.5,g/kg,SoilGrids_v2
54.5,62.0,sand,5-15cm,279,27.9,g/kg,SoilGrids_v2
54.5,62.0,sand,15-30cm,280,28.0,g/kg,SoilGrids_v2
54.5,62.0,sand,30-60cm,275,27.5,g/kg,SoilGrids_v2
54.5,62.0,silt,0-5cm,431,43.1,g/kg,SoilGrids_v2
54.5,62.0,silt,5-15cm,423,42.3,g/kg,SoilGrids_v2
54.5,62.0,silt,15-30cm,418,41.8,g/kg,SoilGrids_v2
54.5,62.0,silt,30-60cm,399,39.9,g/kg,SoilGrids_v2
54.5,62.0,soc,0-5cm,500,50.0,dg/kg,SoilGrids_v2
54.5,62.0,soc,5-15cm,380,38.0,dg/kg,SoilGrids_v2
54.5,62.0,soc,15-30cm,296,29.6,dg/kg,SoilGrids_v2
54.5,62.0,soc,30-60cm,288,28.8,dg/kg,SoilGrids_v2
54.5,65.0,bdod,0-5cm,98,0.98,cg/cm³,SoilGrids_v2
54.5,65.0,bdod,5-15cm,111,1.11,cg/cm³,SoilGrids_v2
54.5,65.0,bdod,15-30cm,126,1.26,cg/cm³,SoilGrids_v2
54.5,65.0,bdod,30-60cm,139,1.39,cg/cm³,SoilGrids_v2
54.5,65.0,cec,0-5cm,433,43.3,mmol(c)/kg,SoilGrids_v2
54.5,65.0,cec,5-15cm,433,43.3,mmol(c)/kg,SoilGrids_v2
54.5,65.0,cec,15-30cm,437,43.7,mmol(c)/kg,SoilGrids_v2
54.5,65.0,cec,30-60cm,410,41.0,mmol(c)/kg,SoilGrids_v2
54.5,65.0,clay,0-5cm,288,28.8,g/kg,SoilGrids_v2
54.5,65.0,clay,5-15cm,285,28.5,g/kg,SoilGrids_v2
54.5,65.0,clay,15-30cm,278,27.8,g/kg,SoilGrids_v2
54.5,65.0,clay,30-60cm,270,27.0,g/kg,SoilGrids_v2
54.5,65.0,nitrogen,0-5cm,534,5.34,cg/kg,SoilGrids_v2
54.5,65.0,nitrogen,5-15cm,359,3.59,cg/kg,SoilGrids_v2
54.5,65.0,nitrogen,15-30cm,311,3.11,cg/kg,SoilGrids_v2
54.5,65.0,nitrogen,30-60cm,277,2.77,cg/kg,SoilGrids_v2
54.5,65.0,phh2o,0-5cm,67,6.7,pH*10,SoilGrids_v2
54.5,65.0,phh2o,5-15cm,68,6.8,pH*10,SoilGrids_v2
54.5,65.0,phh2o,15-30cm,69,6.9,pH*10,SoilGrids_v2
54.5,65.0,phh2o,30-60cm,71,7.1,pH*10,SoilGrids_v2
54.5,65.0,sand,0-5cm,359,35.9,g/kg,SoilGrids_v2
54.5,65.0,sand,5-15cm,357,35.7,g/kg,SoilGrids_v2
54.5,65.0,sand,15-30cm,353,35.3,g/kg,SoilGrids_v2
54.5,65.0,sand,30-60cm,353,35.3,g/kg,SoilGrids_v2
54.5,65.0,silt,0-5cm,354,35.4,g/kg,SoilGrids_v2
54.5,65.0,silt,5-15cm,358,35.8,g/kg,SoilGrids_v2
54.5,65.0,silt,15-30cm,369,36.9,g/kg,SoilGrids_v2
54.5,65.0,silt,30-60cm,377,37.7,g/kg,SoilGrids_v2
54.5,65.0,soc,0-5cm,637,63.7,dg/kg,SoilGrids_v2
54.5,65.0,soc,5-15cm,434,43.4,dg/kg,SoilGrids_v2
54.5,65.0,soc,15-30cm,206,20.6,dg/kg,SoilGrids_v2
54.5,65.0,soc,30-60cm,156,15.6,dg/kg,SoilGrids_v2
54.5,68.0,bdod,0-5cm,102,1.02,cg/cm³,SoilGrids_v2
54.5,68.0,bdod,5-15cm,113,1.13,cg/cm³,SoilGrids_v2
54.5,68.0,bdod,15-30cm,128,1.28,cg/cm³,SoilGrids_v2
54.5,68.0,bdod,30-60cm,138,1.38,cg/cm³,SoilGrids_v2
54.5,68.0,cec,0-5cm,443,44.3,mmol(c)/kg,SoilGrids_v2
54.5,68.0,cec,5-15cm,396,39.6,mmol(c)/kg,SoilGrids_v2
54.5,68.0,cec,15-30cm,389,38.9,mmol(c)/kg,SoilGrids_v2
54.5,68.0,cec,30-60cm,380,38.0,mmol(c)/kg,SoilGrids_v2
54.5,68.0,clay,0-5cm,283,28.3,g/kg,SoilGrids_v2
54.5,68.0,clay,5-15cm,278,27.8,g/kg,SoilGrids_v2
54.5,68.0,clay,15-30cm,274,27.4,g/kg,SoilGrids_v2
54.5,68.0,clay,30-60cm,275,27.5,g/kg,SoilGrids_v2
54.5,68.0,nitrogen,0-5cm,591,5.91,cg/kg,SoilGrids_v2
54.5,68.0,nitrogen,5-15cm,341,3.41,cg/kg,SoilGrids_v2
54.5,68.0,nitrogen,15-30cm,296,2.96,cg/kg,SoilGrids_v2
54.5,68.0,nitrogen,30-60cm,240,2.4,cg/kg,SoilGrids_v2
54.5,68.0,phh2o,0-5cm,67,6.7,pH*10,SoilGrids_v2
54.5,68.0,phh2o,5-15cm,68,6.8,pH*10,SoilGrids_v2
54.5,68.0,phh2o,15-30cm,69,6.9,pH*10,SoilGrids_v2
54.5,68.0,phh2o,30-60cm,71,7.1,pH*10,SoilGrids_v2
54.5,68.0,sand,0-5cm,382,38.2,g/kg,SoilGrids_v2
54.5,68.0,sand,5-15cm,382,38.2,g/kg,SoilGrids_v2
54.5,68.0,sand,15-30cm,381,38.1,g/kg,SoilGrids_v2
54.5,68.0,sand,30-60cm,390,39.0,g/kg,SoilGrids_v2
54.5,68.0,silt,0-5cm,335,33.5,g/kg,SoilGrids_v2
54.5,68.0,silt,5-15cm,341,34.1,g/kg,SoilGrids_v2
54.5,68.0,silt,15-30cm,345,34.5,g/kg,SoilGrids_v2
54.5,68.0,silt,30-60cm,335,33.5,g/kg,SoilGrids_v2
54.5,68.0,soc,0-5cm,625,62.5,dg/kg,SoilGrids_v2
54.5,68.0,soc,5-15cm,387,38.7,dg/kg,SoilGrids_v2
54.5,68.0,soc,15-30cm,267,26.7,dg/kg,SoilGrids_v2
54.5,68.0,soc,30-60cm,152,15.2,dg/kg,SoilGrids_v2
54.5,71.0,bdod,0-5cm,97,0.97,cg/cm³,SoilGrids_v2
54.5,71.0,bdod,5-15cm,109,1.09,cg/cm³,SoilGrids_v2
54.5,71.0,bdod,15-30cm,125,1.25,cg/cm³,SoilGrids_v2
54.5,71.0,bdod,30-60cm,139,1.39,cg/cm³,SoilGrids_v2
54.5,71.0,cec,0-5cm,463,46.3,mmol(c)/kg,SoilGrids_v2
54.5,71.0,cec,5-15cm,426,42.6,mmol(c)/kg,SoilGrids_v2
54.5,71.0,cec,15-30cm,405,40.5,mmol(c)/kg,SoilGrids_v2
54.5,71.0,cec,30-60cm,372,37.2,mmol(c)/kg,SoilGrids_v2
54.5,71.0,clay,0-5cm,251,25.1,g/kg,SoilGrids_v2
54.5,71.0,clay,5-15cm,248,24.8,g/kg,SoilGrids_v2
54.5,71.0,clay,15-30cm,256,25.6,g/kg,SoilGrids_v2
54.5,71.0,clay,30-60cm,255,25.5,g/kg,SoilGrids_v2
54.5,71.0,nitrogen,0-5cm,589,5.89,cg/kg,SoilGrids_v2
54.5,71.0,nitrogen,5-15cm,430,4.3,cg/kg,SoilGrids_v2
54.5,71.0,nitrogen,15-30cm,343,3.43,cg/kg,SoilGrids_v2
54.5,71.0,nitrogen,30-60cm,253,2.53,cg/kg,SoilGrids_v2
54.5,71.0,phh2o,0-5cm,66,6.6,pH*10,SoilGrids_v2
54.5,71.0,phh2o,5-15cm,66,6.6,pH*10,SoilGrids_v2
54.5,71.0,phh2o,15-30cm,66,6.6,pH*10,SoilGrids_v2
54.5,71.0,phh2o,30-60cm,71,7.1,pH*10,SoilGrids_v2
54.5,71.0,sand,0-5cm,421,42.1,g/kg,SoilGrids_v2
54.5,71.0,sand,5-15cm,431,43.1,g/kg,SoilGrids_v2
54.5,71.0,sand,15-30cm,423,42.3,g/kg,SoilGrids_v2
54.5,71.0,sand,30-60cm,423,42.3,g/kg,SoilGrids_v2
54.5,71.0,silt,0-5cm,327,32.7,g/kg,SoilGrids_v2
54.5,71.0,silt,5-15cm,321,32.1,g/kg,SoilGrids_v2
54.5,71.0,silt,15-30cm,320,32.0,g/kg,SoilGrids_v2
54.5,71.0,silt,30-60cm,321,32.1,g/kg,SoilGrids_v2
54.5,71.0,soc,0-5cm,835,83.5,dg/kg,SoilGrids_v2
54.5,71.0,soc,5-15cm,535,53.5,dg/kg,SoilGrids_v2
54.5,71.0,soc,15-30cm,416,41.6,dg/kg,SoilGrids_v2
54.5,71.0,soc,30-60cm,391,39.1,dg/kg,SoilGrids_v2
54.5,74.0,bdod,0-5cm,94,0.94,cg/cm³,SoilGrids_v2
54.5,74.0,bdod,5-15cm,114,1.14,cg/cm³,SoilGrids_v2
54.5,74.0,bdod,15-30cm,125,1.25,cg/cm³,SoilGrids_v2
54.5,74.0,bdod,30-60cm,137,1.37,cg/cm³,SoilGrids_v2
54.5,74.0,cec,0-5cm,493,49.3,mmol(c)/kg,SoilGrids_v2
54.5,74.0,cec,5-15cm,508,50.8,mmol(c)/kg,SoilGrids_v2
54.5,74.0,cec,15-30cm,495,49.5,mmol(c)/kg,SoilGrids_v2
54.5,74.0,cec,30-60cm,448,44.8,mmol(c)/kg,SoilGrids_v2
54.5,74.0,clay,0-5cm,282,28.2,g/kg,SoilGrids_v2
54.5,74.0,clay,5-15cm,288,28.8,g/kg,SoilGrids_v2
54.5,74.0,clay,15-30cm,321,32.1,g/kg,SoilGrids_v2
54.5,74.0,clay,30-60cm,336,33.6,g/kg,SoilGrids_v2
54.5,74.0,nitrogen,0-5cm,583,5.83,cg/kg,SoilGrids_v2
54.5,74.0,nitrogen,5-15cm,382,3.82,cg/kg,SoilGrids_v2
54.5,74.0,nitrogen,15-30cm,319,3.19,cg/kg,SoilGrids_v2
54.5,74.0,nitrogen,30-60cm,280,2.8,cg/kg,SoilGrids_v2
54.5,74.0,phh2o,0-5cm,65,6.5,pH*10,SoilGrids_v2
54.5,74.0,phh2o,5-15cm,65,6.5,pH*10,SoilGrids_v2
54.5,74.0,phh2o,15-30cm,66,6.6,pH*10,SoilGrids_v2
54.5,74.0,phh2o,30-60cm,70,7.0,pH*10,SoilGrids_v2
54.5,74.0,sand,0-5cm,416,41.6,g/kg,SoilGrids_v2
54.5,74.0,sand,5-15cm,417,41.7,g/kg,SoilGrids_v2
54.5,74.0,sand,15-30cm,397,39.7,g/kg,SoilGrids_v2
54.5,74.0,sand,30-60cm,391,39.1,g/kg,SoilGrids_v2
54.5,74.0,silt,0-5cm,301,30.1,g/kg,SoilGrids_v2
54.5,74.0,silt,5-15cm,295,29.5,g/kg,SoilGrids_v2
54.5,74.0,silt,15-30cm,281,28.1,g/kg,SoilGrids_v2
54.5,74.0,silt,30-60cm,273,27.3,g/kg,SoilGrids_v2
54.5,74.0,soc,0-5cm,625,62.5,dg/kg,SoilGrids_v2
54.5,74.0,soc,5-15cm,435,43.5,dg/kg,SoilGrids_v2
54.5,74.0,soc,15-30cm,229,22.9,dg/kg,SoilGrids_v2
54.5,74.0,soc,30-60cm,179,17.9,dg/kg,SoilGrids_v2
